"Afghanistan","AF","AFG","4","Yes"
"Åland Islands","AX","ALA","248","No"
"Angola","AO","AGO","24","Yes"
"Austria","AT","AUT","40","Yes"
"Bahamas","BS","BHS","44","Yes"
"Bahrain","BH","BHR","48","Yes"
"Belize","BZ","BLZ","84","Yes"
"Benin","BJ","BEN","204","Yes"
"Bhutan","BT","BTN","64","Yes"
"Bouvet Island","BV","BVT","74","No"
"Burkina Faso","BF","BFA","854","Yes"
"Canada","CA","CAN","124","Yes"
"Central African Republic","CF","CAF","140","Yes"
"Chad","TD","TCD","148","Yes"
"Comoros","KM","COM","174","Yes"
"Cook Islands","CK","COK","184","No"
"Côte d'Ivoire","CI","CIV","384","Yes"
"Dominican Republic","DO","DOM","214","Yes"
"Faroe Islands","FO","FRO","234","No"
"Fiji","FJ","FJI","242","Yes"
"Finland","FI","FIN","246","Yes"
"French Guiana","GF","GUF","254","No"
"Greenland","GL","GRL","304","No"
"Guinea","GN","GIN","324","Yes"
"Guinea-Bissau","GW","GNB","624","Yes"
"Heard Island and McDonald Islands","HM","HMD","334","No"
"Honduras","HN","HND","340","Yes"
"Hong Kong","HK","HKG","344","No"
"Hungary","HU","HUN","348","Yes"
"Iran (Islamic Republic of)","IR","IRN","364","Yes"
"Jordan","JO","JOR","400","Yes"
"Kenya","KE","KEN","404","Yes"
"Korea (Democratic People's Republic of)","KP","PRK","408","Yes"
"Korea (Republic of)","KR","KOR","410","Yes"
"Kuwait","KW","KWT","414","Yes"
"Kyrgyzstan","KG","KGZ","417","Yes"
"Lao People's Democratic Republic","LA","LAO","418","Yes"
"Latvia","LV","LVA","428","Yes"
"Lebanon","LB","LBN","422","Yes"
"Lesotho","LS","LSO","426","Yes"
"Liberia","LR","LBR","430","Yes"
"Libya","LY","LBY","434","Yes"
"Liechtenstein","LI","LIE","438","Yes"
"Lithuania","LT","LTU","440","Yes"
"Luxembourg","LU","LUX","442","Yes"
"Macao","MO","MAC","446","No"
"Madagascar","MG","MDG","450","Yes"
"Malawi","MW","MWI","454","Yes"
"Malaysia","MY","MYS","458","Yes"
"Maldives","MV","MDV","462","Yes"
"Mali","ML","MLI","466","Yes"
"Malta","MT","MLT","470","Yes"
"Marshall Islands","MH","MHL","584","Yes"
"Martinique","MQ","MTQ","474","No"
"Mauritania","MR","MRT","478","Yes"
"Mauritius","MU","MUS","480","Yes"
"Mexico","MX","MEX","484","Yes"
"Moldova (Republic of)","MD","MDA","498","Yes"
"Monaco","MC","MCO","492","Yes"
"Mongolia","MN","MNG","496","Yes"
"Montenegro","ME","MNE","499","Yes"
"Morocco","MA","MAR","504","Yes"
"Myanmar","MM","MMR","104","Yes"
"Nepal","NP","NPL","524","Yes"
"New Caledonia","NC","NCL","540","No"
"New Zealand","NZ","NZL","554","Yes"
"Norfolk Island","NF","NFK","574","No"
"Peru","PE","PER","604","Yes"
"Qatar","QA","QAT","634","Yes"
"Romania","RO","ROU","642","Yes"
"Russian Federation","RU","RUS","643","Yes"
"Rwanda","RW","RWA","646","Yes"
"San Marino","SM","SMR","674","Yes"
"Sierra Leone","SL","SLE","694","Yes"
"Sint Maarten (Dutch part)","SX","SXM","534","No"
"Spain","ES","ESP","724","Yes"
"Sri Lanka","LK","LKA","144","Yes"
"Suriname","SR","SUR","740","Yes"
"Svalbard and Jan Mayen","SJ","SJM","744","No"
"Swaziland","SZ","SWZ","748","Yes"
"Thailand","TH","THA","764","Yes"
"Ukraine","UA","UKR","804","Yes"
"United Arab Emirates","AE","ARE","784","Yes"
"United States of America","US","USA","840","Yes"
"Vanuatu","VU","VUT","548","Yes"
"Viet Nam","VN","VNM","704","Yes"
"Zambia","ZM","ZMB","894","Yes"
